ID,Gender,Age,Profession,Work_Experience,Spending_Score,Family_Size,Ever_Married
458989,0,36,1,0,1,1,Yes
458994,1,37,2,8,3,4,Yes
458996,0,69,2,0,1,1,Yes
459000,1,59,3,11,5,2,Yes
459001,0,19,4,3,1,4,No
459003,1,47,5,0,5,5,Yes
459005,1,61,5,5,1,3,Yes
459008,0,47,6,1,3,3,Yes
459013,1,50,6,2,3,4,Yes
459014,1,19,2,0,1,4,No
459015,1,22,2,0,1,3,No
459016,0,22,2,0,1,6,No
459024,1,50,6,1,3,5,Yes
459026,1,27,2,8,1,3,No
459032,1,18,5,0,1,3,No
459033,0,61,6,0,1,1,Yes
459036,0,20,7,1,3,3,Yes
459039,1,45,6,1,3,2,Yes
459041,1,55,6,8,1,1,Yes
459045,0,88,7,1,3,4,Yes
459056,1,63,3,3,5,3,Yes
459057,1,69,7,3,5,2,Yes
459058,1,42,6,0,1,4,No
459059,1,79,3,3,5,2,Yes
459061,0,35,2,9,5,3,Yes
459064,1,27,3,5,5,4,Yes
459065,1,52,1,3,1,2,Yes
459074,0,29,2,0,1,4,No
459077,0,79,7,1,5,2,Yes
459079,1,87,7,3,5,2,Yes
459080,1,89,7,1,1,2,Yes
459083,1,63,6,9,3,3,Yes
459090,1,31,6,1,1,2,No
459091,1,72,6,1,3,6,Yes
459093,0,41,5,9,3,2,Yes
459100,0,61,6,11,1,1,No
459106,1,62,6,0,1,2,Yes
459114,1,56,6,1,3,2,Yes
459116,1,60,6,2,3,5,Yes
459117,1,68,6,0,5,2,Yes
459118,1,19,2,3,1,8,No
459119,1,57,3,8,5,3,Yes
459120,1,19,2,5,1,5,No
459121,0,51,6,3,3,6,Yes
459123,0,86,6,1,5,2,Yes
459130,0,74,7,1,5,2,Yes
459132,1,23,8,6,1,2,No
459136,1,47,6,0,3,2,Yes
459140,0,19,2,7,1,6,No
459143,1,50,6,0,5,4,Yes
459144,1,80,7,3,5,2,Yes
459145,1,78,7,3,1,1,Yes
459150,0,48,5,0,1,1,No
459160,1,70,5,1,3,2,Yes
459161,1,50,3,3,5,5,Yes
459162,0,83,7,0,5,2,Yes
459163,1,35,8,0,1,1,No
459167,0,36,6,0,1,2,No
459170,0,35,6,1,1,1,No
459171,1,35,6,0,3,2,Yes
459172,1,18,2,3,1,3,No
459175,0,73,6,1,3,2,Yes
459181,1,62,6,1,5,3,Yes
459182,0,46,6,1,3,2,Yes
459184,1,43,8,0,1,4,Yes
459185,0,32,8,7,1,1,No
459193,1,39,6,0,1,1,No
459194,0,89,7,0,5,2,Yes
459196,0,18,2,0,1,3,No
459208,0,57,6,0,5,2,Yes
459209,0,18,8,0,1,4,No
459210,0,71,6,1,5,2,Yes
459212,0,69,6,0,3,2,Yes
459213,0,42,2,0,1,4,No
459216,0,36,6,0,1,2,No
459220,0,80,7,1,5,2,Yes
459221,1,69,8,3,1,1,Yes
459222,0,67,6,0,3,3,Yes
459223,0,47,5,1,3,4,Yes
459224,0,49,6,0,3,2,Yes
459227,0,32,1,9,1,4,Yes
459229,0,65,7,1,3,4,Yes
459236,0,78,7,0,5,2,Yes
459237,1,33,6,1,1,6,No
459244,1,48,6,1,1,1,Yes
459247,1,58,3,1,3,5,Yes
459258,0,83,7,1,5,2,Yes
459263,0,30,2,9,1,4,No
459264,0,35,6,0,1,2,No
459266,1,32,2,6,1,5,No
459270,1,69,9,1,5,2,Yes
459284,0,71,7,1,5,2,Yes
459287,1,43,7,0,1,1,No
459288,1,37,6,0,1,2,Yes
459289,1,42,5,0,1,1,No
459290,0,70,5,1,3,2,Yes
459292,1,46,6,0,1,2,No
459293,1,21,2,3,1,2,No
459296,1,70,6,0,3,2,Yes
459300,0,61,6,1,1,2,Yes
459307,1,60,8,1,1,1,Yes
459310,1,37,8,0,1,2,No
459316,1,30,2,1,1,2,Yes
459318,0,32,1,1,1,3,No
459320,1,26,3,0,1,3,Yes
459322,1,42,4,0,1,1,No
459323,0,18,5,3,1,2,No
459338,1,80,3,3,1,2,Yes
459339,1,29,2,8,5,2,Yes
459344,0,88,6,1,5,2,Yes
459347,1,70,7,1,1,1,Yes
459349,0,50,6,1,5,4,Yes
459352,1,43,5,4,3,4,Yes
459353,1,51,6,6,3,2,Yes
459354,0,50,6,3,5,3,Yes
459355,0,74,9,3,1,1,Yes
459360,0,29,2,3,1,3,No
459361,0,32,1,3,1,2,No
459362,1,60,3,0,1,2,Yes
459363,1,46,6,2,1,1,No
459364,0,81,4,0,1,2,Yes
459369,1,41,1,3,3,7,Yes
459375,1,22,3,0,5,4,Yes
459377,1,37,6,0,3,3,Yes
459383,1,43,1,0,1,1,Yes
459384,1,50,6,1,3,3,Yes
459385,0,35,6,1,3,2,Yes
459386,1,65,7,1,5,2,Yes
459391,0,41,1,0,1,4,No
459394,1,28,8,8,1,2,No
459397,1,55,6,4,3,2,Yes
459398,0,58,7,3,5,2,Yes
459401,1,28,2,1,1,3,No
459403,1,48,6,3,3,4,Yes
459405,0,78,5,1,5,2,Yes
459407,0,35,5,1,1,3,No
459409,0,76,7,0,5,2,Yes
459410,0,88,7,1,5,2,Yes
459412,1,61,6,1,3,3,Yes
459413,0,79,6,3,5,2,Yes
459415,1,30,5,0,1,4,No
459418,1,69,3,0,5,2,Yes
459419,1,65,5,1,3,2,Yes
459420,0,70,7,1,1,2,Yes
459421,1,32,2,0,3,4,Yes
459422,1,46,8,3,1,4,Yes
459423,1,21,2,8,1,5,No
459424,1,47,5,3,1,3,Yes
459428,0,39,4,0,1,2,No
459432,1,85,7,0,1,3,Yes
459436,0,66,6,0,1,2,No
459439,0,50,6,1,3,2,Yes
459445,0,42,6,0,3,3,Yes
459447,1,53,6,9,1,1,Yes
459449,1,37,6,3,1,2,Yes
459451,0,45,6,1,1,2,Yes
459456,0,66,7,3,1,1,No
459458,1,33,4,3,1,2,No
459459,1,40,6,4,1,1,Yes
459461,0,35,6,1,1,1,Yes
459464,1,27,6,3,1,2,No
459466,0,48,6,0,3,3,Yes
459467,0,56,6,0,3,2,Yes
459469,1,25,2,3,1,6,Yes
459471,0,30,6,3,1,8,No
459480,0,46,8,7,1,3,Yes
459481,1,49,7,0,1,2,Yes
459482,1,72,4,1,1,4,Yes
459485,0,79,7,3,5,2,Yes
459496,0,35,6,3,1,3,No
459497,0,77,7,0,1,1,Yes
459499,0,79,7,3,5,2,Yes
459503,1,42,2,6,5,4,Yes
459505,0,42,1,3,1,1,No
459507,1,67,7,3,5,2,Yes
459509,1,26,2,1,1,1,No
459512,1,67,7,1,5,2,Yes
459515,1,55,1,1,1,1,Yes
459516,0,56,6,3,3,2,No
459518,1,63,2,3,3,4,Yes
459535,1,46,6,8,3,2,Yes
459536,1,32,2,7,1,2,Yes
459538,0,49,9,13,1,1,No
459541,1,59,6,1,5,2,Yes
459549,1,22,2,8,1,5,No
459555,0,28,6,8,1,1,No
459558,1,28,8,1,1,3,No
459564,1,75,7,2,1,1,Yes
459566,0,37,6,13,1,2,Yes
459567,1,50,5,0,3,2,Yes
459571,0,50,3,1,5,4,Yes
459576,0,88,7,3,1,2,Yes
459579,0,35,6,3,3,5,Yes
459581,0,35,6,3,1,2,No
459582,1,31,8,3,3,3,Yes
459583,1,46,6,0,1,1,Yes
459585,0,50,6,1,3,4,Yes
459587,0,33,6,7,1,3,No
459588,1,49,6,0,1,1,Yes
459591,1,52,6,1,3,3,Yes
459592,1,25,2,0,1,3,No
459594,0,41,6,6,1,1,Yes
459597,0,68,6,0,5,2,Yes
459603,0,79,7,2,5,2,Yes
459607,1,40,8,5,3,5,Yes
459608,0,62,5,3,1,1,No
459612,1,21,2,3,1,2,No
459616,0,20,2,3,1,4,No
459617,1,28,8,1,1,5,No
459618,1,57,5,0,3,2,Yes
459621,0,25,2,8,1,2,No
459625,0,63,1,8,1,1,Yes
459626,0,26,8,1,1,3,Yes
459632,0,50,4,0,5,3,Yes
459644,0,30,4,9,1,4,No
459652,0,26,1,3,1,4,No
459658,1,61,6,1,3,3,Yes
459664,1,42,6,3,1,1,No
459665,1,88,6,4,1,2,Yes
459672,1,45,6,3,3,3,Yes
459673,0,86,7,1,1,1,Yes
459678,1,18,2,1,1,5,No
459680,1,37,8,3,1,1,No
459686,1,46,6,1,1,1,Yes
459691,1,58,6,3,3,2,Yes
459692,0,72,7,8,5,2,Yes
459693,0,50,6,0,5,3,Yes
459699,0,56,1,8,3,3,No
459701,1,46,6,3,1,3,No
459710,1,57,6,3,1,1,Yes
459711,1,42,3,9,5,6,Yes
459712,1,20,2,3,1,4,No
459713,1,19,2,3,1,3,No
459715,1,19,2,4,1,4,No
459718,1,68,3,1,1,1,Yes
459725,0,40,6,0,1,2,Yes
459727,1,82,7,3,5,2,Yes
459740,0,23,2,1,1,3,No
459742,0,84,7,1,5,2,Yes
459745,1,51,6,0,1,4,Yes
459746,1,59,6,1,3,2,No
459747,0,41,6,1,3,5,Yes
459748,1,51,3,1,5,2,Yes
459755,0,62,6,3,3,3,Yes
459756,0,62,7,1,5,4,Yes
459760,0,38,6,8,1,1,Yes
459763,1,18,6,3,1,4,No
459767,1,22,2,3,1,4,No
459771,0,30,5,0,1,3,No
459779,0,62,8,1,1,1,Yes
459780,0,43,8,1,1,3,No
459785,0,32,1,3,1,1,No
459793,1,37,6,1,5,2,Yes
459795,1,48,6,1,1,1,No
459801,0,31,1,4,1,2,No
459804,1,46,6,4,5,4,Yes
459806,0,49,1,1,3,4,Yes
459808,1,43,5,3,3,4,Yes
459815,1,42,6,8,1,1,No
459816,1,37,5,3,1,2,Yes
459819,1,72,8,3,5,2,Yes
459821,1,71,3,3,5,1,No
459822,0,39,1,1,1,1,No
459825,1,20,2,0,1,5,No
459827,0,26,8,3,1,1,No
459832,1,72,3,1,1,1,Yes
459845,1,70,2,0,1,1,Yes
459851,1,45,6,2,1,1,No
459853,1,33,3,7,1,5,No
459856,1,50,8,0,3,3,Yes
459857,1,31,8,6,1,1,No
459861,0,74,7,1,5,2,Yes
459864,0,68,6,3,5,2,Yes
459866,0,49,6,3,1,1,No
459867,1,49,4,0,5,2,Yes
459869,0,18,2,1,1,3,No
459871,0,85,8,2,3,2,Yes
459885,0,38,8,3,1,4,No
459886,1,28,6,0,1,4,Yes
459887,1,46,6,3,3,2,Yes
459889,1,59,9,9,3,3,Yes
459897,0,56,6,0,1,2,Yes
459909,1,69,6,0,1,1,Yes
459910,1,66,6,0,1,2,Yes
459911,1,18,2,4,1,6,No
459914,1,36,6,4,1,1,No
459923,1,31,4,1,1,2,No
459925,1,67,3,1,5,2,Yes
459937,0,39,6,7,1,1,No
459943,1,42,8,4,1,3,No
459945,1,50,6,0,1,2,Yes
459946,0,37,6,0,3,2,Yes
459949,0,59,6,0,1,1,No
459953,1,50,6,8,1,2,Yes
459961,1,48,6,8,1,3,Yes
459962,1,55,6,9,1,1,Yes
459966,0,33,5,1,1,3,No
459968,1,38,6,13,1,1,No
459970,1,43,6,0,1,2,No
459973,0,53,6,0,1,2,No
459974,1,37,8,0,1,1,No
459975,0,36,6,5,1,1,No
459981,1,36,6,5,1,1,No
459986,1,62,6,1,1,1,Yes
459995,0,38,6,2,1,2,No
459996,1,55,8,1,1,1,No
459998,1,60,8,1,3,2,Yes
460004,0,36,8,7,3,2,Yes
460006,1,30,8,5,1,9,No
460014,0,66,8,4,1,3,No
460023,1,45,8,1,1,1,Yes
460027,0,40,8,6,1,2,No
460033,0,45,8,5,1,3,No
460036,1,41,8,2,1,1,Yes
460040,0,62,9,4,1,1,Yes
460045,1,61,6,1,1,2,Yes
460046,0,50,6,4,1,2,Yes
460050,1,53,8,3,1,2,Yes
460051,1,39,6,7,1,1,No
460052,0,86,7,0,1,1,No
460058,1,50,6,1,1,1,Yes
460059,0,46,8,4,1,2,No
460061,1,52,4,0,1,1,No
460066,0,45,4,0,1,1,No
460068,0,37,6,9,1,1,No
460073,0,36,1,3,1,1,Yes
460075,0,25,6,3,1,1,No
460079,0,40,5,1,1,1,No
460081,1,41,6,11,5,2,Yes
460088,0,25,9,3,5,2,Yes
460090,1,80,7,4,3,2,Yes
460093,0,46,6,3,1,1,No
460095,0,81,7,1,1,1,Yes
460097,1,40,6,0,1,2,No
460099,1,49,6,1,1,1,No
460101,0,26,2,8,1,3,No
460103,1,26,6,1,1,1,No
460105,0,47,6,0,1,1,No
460106,0,71,8,0,1,2,Yes
460107,1,48,1,1,3,5,Yes
460108,1,39,6,1,3,3,Yes
460109,1,50,6,8,3,2,Yes
460110,0,46,6,1,1,2,No
460112,1,26,1,8,3,2,Yes
460116,0,42,1,1,1,2,Yes
460118,0,36,6,4,1,2,Yes
460119,1,29,2,1,1,4,No
460122,0,39,6,1,1,1,No
460124,0,41,6,0,1,3,No
460126,0,48,4,8,1,2,Yes
460134,1,40,8,9,5,3,Yes
460135,0,25,2,4,1,3,No
460140,0,41,6,7,1,2,Yes
460141,1,37,6,11,1,1,No
460144,0,53,5,0,1,2,No
460146,0,51,1,0,3,3,Yes
460147,1,73,8,1,3,3,Yes
460157,1,61,1,1,1,5,Yes
460160,1,39,8,5,1,1,No
460162,0,19,2,0,1,4,No
460166,0,19,2,0,1,7,No
460167,0,23,8,1,1,5,No
460168,1,83,3,0,5,2,Yes
460171,0,62,6,1,5,2,Yes
460174,0,43,6,9,1,4,No
460175,0,27,6,0,1,5,No
460177,1,50,6,0,1,1,No
460179,0,23,8,0,1,6,No
460183,1,35,8,9,1,2,No
460185,1,32,2,9,1,3,No
460187,0,42,5,2,1,3,No
460189,1,33,8,13,1,1,No
460190,0,28,1,9,1,3,No
460192,1,35,1,1,1,2,Yes
460196,0,35,2,9,1,2,No
460206,0,39,8,0,1,2,Yes
460211,1,28,6,6,1,1,Yes
460212,1,35,8,11,1,6,Yes
460214,0,45,1,0,3,2,Yes
460222,0,73,7,4,5,2,No
460223,1,52,8,1,1,1,No
460227,1,28,2,0,1,3,No
460242,1,38,2,9,1,3,Yes
460243,0,42,8,8,1,1,No
460247,0,26,5,9,1,2,No
460248,0,27,2,7,1,2,No
460252,1,41,6,0,1,2,Yes
460263,1,41,6,1,1,2,Yes
460265,1,47,3,0,5,4,Yes
460270,1,35,5,8,1,1,No
460272,0,88,7,0,1,1,No
460275,0,46,6,6,1,1,No
460276,0,41,6,3,1,2,Yes
460281,0,30,5,10,1,5,No
460283,1,43,5,12,1,2,Yes
460284,0,29,8,9,1,2,No
460287,1,48,6,1,1,1,Yes
460289,0,61,6,4,3,6,Yes
460298,0,51,7,2,1,1,No
460303,0,38,6,2,1,1,No
460305,0,49,8,0,5,1,No
460306,0,43,2,9,1,1,No
460310,1,27,2,14,1,4,No
460315,0,35,5,14,1,6,No
460319,0,39,5,4,3,2,Yes
460322,0,52,1,9,1,2,Yes
460323,0,38,1,10,1,1,No
460324,0,30,8,12,1,2,No
460327,0,43,6,10,1,1,No
460333,0,42,8,10,1,4,No
460336,0,46,6,2,1,1,No
460340,0,47,6,11,1,2,No
460341,0,32,8,13,1,5,No
460344,0,53,6,11,3,2,Yes
460346,0,43,6,12,3,2,Yes
460348,0,39,6,0,1,2,No
460349,1,42,6,3,3,2,No
460354,0,37,6,3,1,1,No
460356,1,19,2,0,1,4,No
460358,1,30,4,1,1,1,No
460361,0,49,6,0,1,1,Yes
460362,1,55,2,0,1,3,Yes
460365,0,59,5,1,1,2,Yes
460369,0,46,6,3,1,2,Yes
460370,0,27,3,9,5,2,Yes
460371,0,25,6,1,1,2,No
460378,0,37,5,1,1,1,No
460379,1,38,6,9,1,3,No
460380,1,29,8,9,1,3,No
460381,1,28,6,11,1,2,No
460384,0,27,4,8,1,2,Yes
460387,0,42,8,3,1,2,No
460388,0,43,6,14,1,2,No
460389,0,40,2,8,3,2,Yes
460390,1,41,6,9,1,3,No
460392,1,46,8,8,1,1,Yes
460394,0,32,2,9,1,3,No
460397,0,56,8,1,1,1,No
460399,1,28,4,12,1,1,No
460401,0,25,6,0,1,3,No
460404,1,42,6,6,1,7,Yes
460405,0,41,8,5,1,2,No
460406,1,36,2,3,1,2,Yes
460408,0,42,6,2,1,1,No
460409,0,42,6,8,1,4,No
460415,0,55,8,1,1,2,No
460422,1,52,8,1,5,2,Yes
460431,0,47,1,1,1,1,No
460434,1,57,6,2,5,3,No
460437,0,26,6,8,1,1,No
460440,0,28,6,5,1,2,No
460443,0,37,5,0,1,1,No
460447,1,89,7,0,1,1,No
460449,1,25,4,2,1,1,No
460450,1,50,3,1,5,4,Yes
460453,0,42,5,5,1,1,No
460454,1,48,6,3,1,1,No
460457,0,37,8,9,1,2,No
460459,0,30,1,1,1,5,No
460460,1,26,8,2,1,4,Yes
460467,0,47,6,3,3,2,Yes
460470,1,36,2,3,1,4,No
460476,1,53,5,3,3,4,Yes
460477,1,30,8,1,1,6,No
460484,0,20,2,4,1,7,No
460485,0,19,4,8,1,5,No
460489,1,19,2,9,1,6,No
460492,0,37,4,12,1,2,No
460495,1,20,2,0,1,6,No
460504,1,39,3,3,3,3,No
460505,0,26,1,1,1,3,No
460507,1,31,5,0,1,4,No
460508,1,31,2,2,5,3,Yes
460518,0,41,1,9,3,3,Yes
460522,0,32,9,3,3,2,Yes
460541,0,42,9,0,3,3,Yes
460542,0,89,7,1,1,2,Yes
460545,1,78,7,1,5,3,Yes
460546,0,65,7,1,1,2,Yes
460547,0,48,9,0,3,2,Yes
460549,1,36,6,8,1,2,No
460550,0,55,6,0,3,4,Yes
460551,1,52,1,0,3,2,Yes
460555,1,52,9,7,3,3,Yes
460556,0,41,9,1,1,1,Yes
460558,0,36,1,3,1,1,Yes
460561,0,37,1,7,1,1,No
460563,0,40,2,1,1,2,No
460566,1,38,9,3,3,2,Yes
460571,1,25,5,0,1,3,No
460572,0,33,1,1,1,4,No
460574,1,26,6,1,1,1,No
460582,0,28,8,0,1,1,No
460583,1,18,4,0,1,6,No
460585,1,52,8,0,1,3,No
460586,1,26,2,0,1,2,No
460588,1,18,2,0,1,4,No
460597,0,20,4,1,1,2,No
460598,0,36,5,0,3,3,Yes
460605,1,27,5,8,3,2,Yes
460606,1,21,2,3,1,5,No
460612,1,27,8,8,1,4,No
460615,0,28,2,3,1,2,No
460618,1,63,7,3,1,4,Yes
460619,1,48,8,3,1,2,No
460621,1,80,7,1,1,2,Yes
460622,0,71,7,7,5,3,Yes
460626,1,47,5,8,5,4,Yes
460627,0,22,9,1,1,4,No
460633,1,35,2,3,5,2,Yes
460634,0,40,8,3,1,6,No
460637,0,18,2,3,1,2,No
460638,0,26,6,0,1,4,No
460639,0,73,7,3,1,5,Yes
460640,1,86,7,3,1,1,Yes
460645,0,37,5,1,1,2,No
460646,1,59,8,3,1,2,Yes
460653,0,28,9,8,1,1,No
460656,0,29,6,9,1,3,Yes
460658,0,37,4,7,3,3,Yes
460659,0,46,4,3,3,3,Yes
460660,1,39,8,6,1,1,No
460661,0,33,9,8,1,1,No
460668,0,32,5,3,1,2,No
460678,0,32,5,6,1,2,No
460686,0,25,9,8,1,1,No
460687,0,48,9,9,3,2,Yes
460691,0,27,9,8,1,1,No
460702,0,49,6,1,1,1,No
460703,0,33,1,8,3,5,Yes
460706,0,33,1,7,1,6,No
460708,1,39,6,0,1,3,Yes
460716,1,50,8,0,3,4,Yes
460719,0,84,7,0,1,2,Yes
460720,0,46,6,0,3,2,Yes
460722,1,31,8,0,3,3,Yes
460726,1,57,6,3,3,2,Yes
460727,1,73,3,1,5,4,Yes
460729,1,36,8,9,1,4,Yes
460733,1,53,4,2,1,4,No
460734,1,41,8,9,3,2,Yes
460738,0,53,1,0,1,2,No
460740,1,35,6,2,3,3,Yes
460743,1,62,6,0,3,3,Yes
460746,1,23,4,0,1,3,No
460763,1,51,6,1,1,2,No
460769,0,83,7,1,5,2,Yes
460780,0,26,2,0,1,2,No
460783,1,86,7,1,1,1,Yes
460785,1,26,2,0,1,4,No
460789,1,42,3,0,1,3,Yes
460794,0,41,9,9,1,1,Yes
460796,1,67,7,0,1,3,Yes
460802,1,68,7,1,5,2,Yes
460811,0,45,1,0,5,2,Yes
460813,0,86,7,0,5,2,Yes
460815,1,62,6,0,5,2,Yes
460822,1,42,6,1,1,2,Yes
460825,1,26,5,0,1,3,No
460828,1,48,8,1,1,1,No
460830,1,40,8,3,3,5,Yes
460831,1,20,2,0,1,4,No
460837,0,25,6,1,1,1,No
460838,1,37,6,1,1,2,No
460840,1,77,7,1,1,1,Yes
460844,1,50,2,3,1,2,Yes
460846,0,22,4,0,1,4,No
460847,1,26,6,1,1,3,No
460851,1,71,5,0,3,3,Yes
460855,1,50,6,3,1,2,Yes
460857,1,29,8,1,1,1,No
460859,1,51,8,3,1,4,Yes
460860,1,52,6,6,3,4,Yes
460861,1,20,2,1,1,3,No
460866,1,26,5,0,1,9,No
460870,1,37,2,3,1,2,No
460871,0,33,2,3,1,2,No
460872,0,39,6,0,1,2,Yes
460877,0,53,6,1,3,5,Yes
460878,1,49,8,0,3,4,Yes
460882,1,21,2,0,1,2,No
460888,1,39,9,8,1,1,Yes
460891,0,38,6,2,3,4,Yes
460897,1,22,2,4,1,4,No
460898,1,52,6,2,3,4,Yes
460899,1,40,8,3,1,3,No
460901,1,20,5,8,1,3,No
460902,1,41,3,1,1,3,No
460905,1,30,6,1,1,1,No
460906,0,89,7,1,5,3,Yes
460907,1,83,7,1,5,3,Yes
460923,1,53,6,0,3,3,Yes
460924,1,31,5,1,1,5,No
460928,1,48,6,1,3,4,Yes
460934,0,29,5,0,1,2,No
460935,1,87,7,0,1,1,Yes
460945,1,19,1,4,1,7,No
460953,1,60,8,1,1,2,Yes
460961,1,23,2,1,1,2,No
460962,1,61,3,9,5,4,Yes
460963,0,27,6,1,1,3,No
460968,1,32,5,14,3,2,Yes
460975,1,79,7,0,5,2,Yes
460976,1,19,2,1,1,4,No
460977,1,42,3,0,5,3,Yes
460979,1,76,7,1,1,1,Yes
460981,0,41,4,1,3,2,Yes
460984,1,38,8,0,3,4,Yes
460988,1,43,8,0,3,3,Yes
460989,1,19,2,1,1,3,No
460991,0,28,2,1,1,3,No
460993,1,56,6,0,3,4,Yes
460999,1,28,1,0,1,3,No
461000,1,60,4,1,5,2,Yes
461001,0,55,6,0,1,2,No
461015,1,35,8,1,3,2,Yes
461016,1,25,2,5,1,5,No
461022,1,71,6,1,1,1,Yes
461023,1,65,7,3,5,2,Yes
461024,1,74,7,1,1,1,Yes
461028,0,20,2,5,1,4,No
461029,1,43,8,9,1,2,Yes
461034,0,20,4,3,1,6,No
461037,1,40,2,3,5,5,Yes
461038,0,46,1,0,5,5,Yes
461041,0,65,7,1,5,7,Yes
461042,1,21,2,0,1,2,No
461043,1,50,2,1,1,7,Yes
461044,1,18,2,0,1,5,No
461049,0,61,5,1,1,7,Yes
461050,1,49,2,1,5,3,Yes
461053,1,39,3,3,5,4,Yes
461059,0,52,7,1,5,2,Yes
461060,1,56,3,0,5,5,Yes
461065,1,55,3,3,1,6,Yes
461071,1,42,1,1,3,5,Yes
461078,0,33,9,0,1,6,No
461082,1,19,2,8,1,4,No
461085,0,27,1,1,1,1,No
461093,0,38,6,1,3,4,Yes
461099,0,38,6,1,1,4,No
461111,0,43,5,8,1,1,Yes
461114,1,53,6,1,3,4,Yes
461116,1,33,3,4,5,4,Yes
461118,0,30,2,7,1,2,No
461119,0,22,2,6,1,3,No
461121,1,33,5,0,1,4,No
461124,1,21,2,1,1,8,No
461127,1,20,2,1,1,5,No
461128,1,19,2,7,1,3,No
461129,0,58,8,1,3,4,Yes
461131,1,67,6,1,5,2,Yes
461145,0,36,8,1,1,2,Yes
461152,0,30,9,8,1,2,No
